Question,Characteristics,US1,US2,US3,US4,US5,AL1,AL2,AL4,AL4,AL5,AK1,AK2,AK3,AK4,AK5,AZ1,AZ2,AZ3,AZ4,AZ5,AR1,AR2,AR3,AR4,AR5,CA1,CA2,CA3,CA4,CA5,CO1,CO2,CO3,CO4,CO5,CT1,CT2,CT3,CT4,CT5,DE1,DE2,DE3,DE4,DE5,DC1,DC2,DC3,DC4,DC5,FL1,FL2,FL3,FL4,FL5,GA1,GA2,GA3,GA4,GA5,HI1,HI2,HI3,HI4,HI5,ID1,ID2,ID3,ID4,ID5,IL1,IL2,IL3,IL4,IL5,IN1,IN2,IN3,IN4,IN5,IA1,IA2,IA3,IA4,IA5,KS1,KS2,KS3,KS4,KS5,KY1,KY2,KY3,KY4,KY5,LA1,LA2,LA3,LA4,LA5,ME1,ME2,ME3,ME4,ME5,MD1,MD2,MD3,MD4,MD5,MA1,MA2,MA3,MA4,MA5,MI1,MI2,MI3,MI4,MI5,MN1,MN2,MN3,MN4,MN5,MS1,MS2,MS3,MS4,MS5,MO1,MO2,MO3,MO4,MO5,MT1,MT2,MT3,MT4,MT5,NE1,NE2,NE3,NE4,NE5,NV1,NV2,NV3,NV4,NV5,NH1,NH2,NH3,NH4,NH5,NJ1,NJ2,NJ3,NJ4,NJ5,NM1,NM2,NM3,NM4,NM5,NY1,NY2,NY3,NY4,NY5,NC1,NC2,NC3,NC4,NC5,ND1,ND2,ND3,ND4,ND5,OH1,OH2,OH3,OH4,OH5,OK1,OK2,OK3,OK4,OK5,OR1,OR2,OR3,OR4,OR5,PA1,PA2,PA3,PA4,PA5,RI1,RI2,RI3,RI4,RI5,SC1,SC2,SC3,SC4,SC5,SD1,SD2,SD3,SD4,SD5,TN1,TN2,TN3,TN4,TN5,TX1,TX2,TX3,TX4,TX5,UT1,UT2,UT3,UT4,UT5,VT1,VT2,VT3,VT4,VT5,VA1,VA2,VA3,VA4,VA5,WA1,WA2,WA3,WA4,WA5,WV1,WV2,WV3,WV4,WV5,WI1,WI2,WI3,WI4,WI5,WY1,WY2,WY3,WY4,WY5,METRO1,METRO2,METRO3,METRO4,METRO5
Active duty military*,Did not report,376729,185524,26957,26107,1518911,2470,3770,,,2300,1591,,,,2496,29695,2381,,,40721,14066,,,,5955,38096,1551,,,136865,2656,1359,,,49709,1373,,,,12365,348,232,1192,,1720,786,,,,981,18307,1166,,,144220,5842,,,,54502,3082,,2265,,4851,413,4590,,,1051,16944,,,,73712,9527,,,15119,25614,2946,2267,,,1501,2159,,,,7784,1265,10364,,,41155,,3884,,,7737,460,,,,1414,5353,3686,3213,,22549,4132,2006,3636,,24599,1718,39319,,,50790,,,,,35244,15721,,,,23400,,,,6821,18792,1657,,4301,,3533,9883,,,,7910,387,1056,972,,17603,2985,,,,3805,8095,,3743,,77922,3153,7431,2650,,17967,36566,54946,,,107018,10932,3082,,2791,28536,164,,,,5383,45169,10241,,,70432,2446,6025,,,10478,6855,1211,,969,9499,,3117,,,34909,1371,844,,,2960,3671,,,,23904,3525,,662,,1531,1475,2091,,,19196,29828,9450,1582,,219300,971,3645,,,13885,2050,237,,,775,8254,4323,,,16482,13816,,2655,408,10247,1610,996,86,,10053,1634,,,,11997,1283,253,,,1561,42137,48841,3743,,110075
Active duty military*,No active duty service (self or spouse),132263503,53136539,17781206,5532526,38638777,1785238,933922,327689,140212,573554,295024,112948,27969,13282,55185,3058072,1189928,448588,133905,714243,1087955,555266,125965,69010,379704,16100204,5914430,2269585,459968,4416947,2600857,895406,260350,83409,548690,1599536,471084,127571,86414,464405,410514,188007,64129,11817,101797,338112,53330,40163,24432,31254,7720875,4248401,1462643,601865,2949013,3769155,1850084,847004,168068,1297774,569418,286353,75573,7722,120526,803157,320545,112935,22888,171310,4788253,2359433,583463,248217,1421933,2771516,901490,306555,89740,911328,1347831,509898,135972,30281,337238,1104890,476486,144907,53115,327441,1614567,765812,249553,101936,595717,1265126,840833,318113,183087,775306,629384,263728,71394,12360,115596,2811991,974538,277843,64661,447156,3093921,1021560,300038,70628,836857,4137916,1440594,505229,176457,1263506,2624077,809498,203959,68052,528853,876992,632809,194424,80649,313883,2609931,856169,278092,214352,577128,512117,169316,68960,13304,73302,792935,296102,81216,20996,218287,1128397,620874,255750,44015,370641,655743,236709,79733,12788,113951,3921490,1330779,334260,99960,1225280,767722,326757,177352,34016,249441,7941103,2827499,943151,445325,2499082,4051058,1578250,632691,163550,1474868,306069,120542,30748,20878,71039,5154811,1864883,564537,183081,938797,1430248,785306,203985,62964,411697,1941194,695520,147448,83834,411493,5333243,1925616,769399,181163,1626030,479339,162533,46754,6720,133388,2039419,813650,181149,72605,785782,384821,144728,27671,13942,68585,2682079,1280178,338845,169721,844453,10506091,4520598,1947560,364714,4041176,1420509,569186,125254,22690,234019,302519,93907,30146,18010,52671,3671840,1289774,356703,108886,941751,3576820,1236484,283719,68109,668086,564385,434123,121901,16211,229103,2668727,835276,249529,82072,600931,216312,105394,23039,6446,78580,8019795,2389738,851875,419147,2642598
Active duty military*,Serving in Reserve or National Guard,329771,154861,151200,17954,206286,5366,,2405,,5025,517,637,376,,1187,1467,,4747,,,,2589,,,,53516,,78973,,3636,8540,2734,,,,1447,5396,,,,483,,,,,969,,,,,,26467,,,,4307,,,,28512,776,,,,1856,1482,3004,,,,6954,,,,,9005,,,,22636,3031,3443,,,,7918,,,,1126,,,,,,,12570,,,7866,,,,,,3830,,,,,,,,,2789,7490,14820,30778,3530,,2228,,,,11205,,8499,,,,,,,,,1230,,,6424,1527,2621,,,,4044,,,,,,736,1438,,,,49827,,,,23197,5361,12341,,,1064,,43385,,,,2339,,,,,3005,1084,,822,,7008,,,,36193,2014,453,27083,,,11355,,,,,7700,2824,,,5375,1266,,,,2196,4035,,2375,,15501,2454,880,,,1336,3473,,,,,66277,,,,14907,1885,1528,,330,5008,,1512,,,,7606,5652,,,8754,28310,,4463,,,,,,,,,3606,,6848,,1943,,,,1346,49827,34991,,,5896
Active duty military*,Serving on active duty,663222,136587,108012,72232,147457,15150,,,,,12551,1221,,,1218,,,848,,,,1728,5865,,,39951,38997,78973,5794,9620,24165,13481,5252,,,7139,,3242,,,,,,,,404,,,,,42822,5854,,,,37029,723,,2541,,3225,,,,1877,2937,,,,3004,13833,,,,,,,,,,,3129,,,,18142,8854,,,,7231,,,,,,,,,8538,,,,,,6462,,,,,,,,,2789,35791,3236,3665,3530,,,,,,5213,16053,5178,,,,50182,,,,42288,2840,5443,,6424,1081,1331,,,5913,,3800,,4072,,911,,,,,,55583,,,,27266,,,,,8033,738,,,38106,,53640,1456,,,,,,,822,,,,,,,,,,,,15586,,,,1959,4222,,,,,7455,,,,,58486,,,2254,,2382,,,,,2460,,,,,11322,27222,,,14448,4543,2369,,,3514,1512,1512,,,2268,41473,14162,,,9900,24485,2020,6097,,3533,568,,,,,37730,,,6848,,,,,,,55403,,,,9965
Active duty military*,Spouse serving in Reserve or National Guard,298609,60496,106842,34262,105768,15931,,,,,1147,,,,,,1809,,,,6830,,7173,3377,,18718,,78973,,,1827,6389,,,,2549,587,,,,2799,,,,,134,,225,,,32811,,,,,2351,,,,,3331,7519,,,,3841,,,,,6954,,3407,,24642,3334,,,,15337,,2239,,,,2950,3232,,,,1504,,,,,,,,,,2624,,,,,7345,1697,,,,,,,,,13083,,,3530,,2140,754,,,,5010,2260,,,3552,3124,,,,2624,221,,,,1527,497,,,,,,,,,,,910,1207,,,49827,,,,17301,,,,,,23513,6105,,,10900,2929,3553,,,,,3592,,822,1679,779,16450,,,,8020,,,,,,,,,,21662,,,,,1284,,,,493,,,6282,,8657,1867,,,,,,,1530,,,26695,,,,4192,1176,1528,3582,,3004,1838,,,,,13535,,,,7421,1564,953,4463,26533,,1992,,,,1667,,,,,2770,873,919,,,,73340,,,,10900
Active duty military*,Spouse serving on active duty,524758,157651,115756,15419,204845,7142,7142,,,7142,1910,2319,,184,,,,,,11478,,3189,,,2571,76395,16942,78973,,,2718,6659,,,,3275,2106,,,,2306,,,,,134,,,,,11046,19763,7622,,59864,38383,5427,,,20674,275,5984,,,,392,,4346,,,10260,8150,5826,,,1978,,,,,3743,,,,,10230,,,,1842,2856,,,,,1655,,,,,2060,501,,,2186,42590,,,,11272,4160,,10052,,4833,,,,3530,,1399,,,,,3961,,,,,4375,,,,,464,,,,1081,2805,,,,,,,4072,,762,,,,,,49827,,,,18892,,744,,,,9501,9555,,,,90047,15620,,,4759,1335,,,822,,5754,,,,14161,13077,,,,,,,,,,4904,,,,,3617,,,,,7056,,,,,1434,1051,,,,13196,,,,,36186,20617,401,4035,13589,966,1528,,,3488,,,,,,25099,26997,,,23699,12490,3354,4463,,2550,,,,,,13753,,,6848,,,,,,,49827,,,,1592
Age,18 - 24,7702015,3139698,1228717,356425,5802623,115852,24280,37101,,,14467,5140,4895,2091,12098,222554,34874,40809,,151228,68868,8546,2844,,71672,1304293,639021,243786,42420,857957,163990,43319,12847,25730,60754,85039,16482,,,50133,7505,6230,6696,,12288,14464,1817,1115,,126,224603,301045,43183,34156,572675,232201,127316,35707,15446,238145,3792,9087,,,,56825,42677,19801,3069,18545,211175,82083,7631,52041,214202,150495,69268,8850,22636,94978,62737,57423,17807,,6063,76775,25017,30649,3499,56560,53921,26244,15089,,84767,25298,49153,25803,48451,102893,10871,4120,6378,2247,20038,204020,33481,,7369,16777,175599,63646,23865,,143472,278784,105876,8799,,332887,144764,73531,21625,,92463,8551,16705,1646,,17600,102849,44765,56797,20133,111873,37571,770,8762,,10598,27867,15532,1357,683,42108,17229,5588,4072,,28003,26084,21237,20859,6557,3895,93642,25214,11676,,250932,17424,18613,,20360,24542,283429,42723,,,347048,295977,36587,49257,37389,130949,12205,8527,2519,,7188,415663,28308,14161,,58109,130352,46526,51591,,17979,87972,31261,18482,,85378,357057,65481,18382,,255626,20620,6809,,,34848,117739,33071,,,92688,12335,6390,2671,,8800,76318,31560,2092,,141488,971752,393188,216754,,547976,114400,104165,11900,,52720,3571,2233,,,9692,271594,57456,23017,,88899,163436,99148,66430,12149,123691,22803,20273,4493,,13699,94963,108746,26520,,59872,9717,19141,,,25702,251599,67937,,,443991
Age,25 - 39,33159593,15064539,6077600,1928029,11707257,424409,261023,84616,69053,179303,83395,38265,9393,1981,20177,645200,413495,172771,62775,134249,312667,159211,33291,14661,103312,4154778,1854493,941594,204188,1337264,649956,278454,104824,14300,280644,348446,127217,46976,22285,138754,66656,43716,29249,7672,29136,124748,16960,8990,22218,7733,1479900,783536,507050,316418,875919,929651,605686,317283,66393,319937,110776,74089,37882,2958,41959,196338,94636,49936,4555,51378,1290309,640865,262332,35476,478050,725257,283006,40275,14009,377445,406846,131369,46593,7247,95711,275078,163923,50267,8440,86599,359428,196958,109870,7746,245574,237919,180559,112271,62627,264385,118508,69338,35097,1968,39376,562795,372017,82598,26886,111947,825438,270473,77990,10576,214187,850490,483564,182335,22513,304988,700645,244202,75911,25308,166223,184583,139753,45977,49874,119462,629715,277640,78380,98463,180395,146293,46829,21454,9223,19652,244933,90164,13550,2498,71991,265984,169674,75529,20651,128461,124972,71892,27587,3006,44335,829735,418020,61618,50614,340366,196230,138766,57268,4957,93953,2316714,765737,133954,206429,528929,1049019,487992,311595,,435051,82776,60895,10536,7450,25836,1111210,543493,247905,110248,376841,350958,182220,62769,20476,122720,524495,175870,46121,49485,122006,1343140,464984,271901,1517,467396,77863,48270,9799,1844,36118,513337,207012,98285,11533,186267,106319,48794,4119,6860,22479,638312,348645,105004,40935,317044,3285942,1313228,693012,112777,1261175,465334,135237,43786,9045,82778,70041,22783,12942,2528,17117,865939,428136,75092,27222,301170,1052587,319872,65197,25486,219673,115864,87668,29736,1937,70240,643699,262194,47405,19457,197325,43965,21715,7686,1263,14229,2236072,554918,118620,180840,495126
Age,40 - 54,32429927,15783564,5773226,1867733,10677385,439697,303635,111822,25918,199619,92175,25593,7048,2612,13559,844168,365829,118356,8907,181288,245467,134802,54976,25233,115693,3856483,1592356,728041,116571,1068964,694353,300415,90040,7754,144981,425514,149955,42679,33535,150936,99511,60044,13364,3596,24160,107260,9035,19253,177,12516,1885874,1391000,487535,149441,594614,1004323,471029,261384,38607,507580,172037,126683,17157,4010,34065,195927,84873,27066,6131,45177,1088300,755579,213448,112689,485156,659981,259877,144297,43251,233188,265380,145046,35979,18211,113582,255362,150856,32509,15625,92818,424600,231542,65439,39778,158356,340059,247098,48019,49145,145170,139715,99140,9013,6444,29195,751346,295998,141071,25810,169933,810897,258559,122365,47875,195309,965613,362995,122086,85799,330713,596987,236114,76845,22331,155372,280201,215926,89183,27199,101963,659237,191873,77050,59835,156327,93217,55911,28041,7709,20257,186718,101535,36054,6234,42961,313752,221503,100805,1779,119989,175813,54933,12899,1568,21666,1064802,377900,157779,21421,242103,168808,69967,40912,3523,62125,1872447,836790,417217,105532,894596,933501,396477,106665,72788,524295,73404,22704,10287,12238,19797,1131789,709758,227510,38442,237947,364567,247425,61839,31839,153769,461652,246859,34051,28255,96069,1081131,580242,203041,133743,421951,140874,44759,31118,4611,25644,534176,208431,37868,41779,251936,91271,35404,9727,6912,16689,745927,375185,142544,59872,159878,2494058,1418019,508446,155468,1227110,371687,185759,50429,5876,40153,68123,41626,7674,10958,10085,999669,382481,143734,57872,258941,919190,380161,64575,42563,143407,162397,115323,51713,11963,62086,625545,178194,122412,24218,146103,54942,30367,9863,4085,17595,2057038,782734,368178,64939,815001
Age,55 - 64,24657176,9276297,3312001,852461,6056607,351425,195698,37024,16475,68671,43008,29473,5999,4859,6932,455769,152584,87609,25581,166042,222468,100681,31154,17074,25005,3011931,789515,262424,73961,628180,460484,149272,44284,10258,49465,320734,115293,29469,6306,79925,86936,40548,4958,212,26866,41430,8103,9350,2037,6336,1596750,851107,277543,51812,408041,636552,311601,157787,17957,244882,84195,40302,19323,755,28793,126013,55085,13740,3978,29568,944407,430391,64825,27725,170299,528605,135599,81297,24963,67798,214072,64642,32997,1678,65030,211206,59400,21201,12938,60313,310034,116251,45822,44814,64284,282700,162754,67269,14515,164969,157239,33260,6634,1701,10870,570751,171532,16130,2327,58353,541237,244767,61632,9457,140762,872512,226165,161663,14312,153918,478090,132923,18075,19366,61062,172622,131944,49065,2459,34979,466048,193948,43500,36030,84226,83213,25528,15003,2348,17054,126076,33299,24181,6352,38645,214755,115059,55953,19818,49137,146455,39386,10773,964,21102,790274,279485,94836,25554,304419,147225,59699,38356,2962,48561,1717295,542905,385604,48143,408370,796169,365784,145695,56164,266415,53698,14077,4075,657,14742,898200,307125,69177,30683,171493,237018,134496,31274,969,64033,314423,102726,27185,3418,63144,1049048,350315,153071,22208,257846,104619,28607,3355,,19172,307948,217696,31554,9052,160927,78626,19418,7096,169,15254,538878,235403,52623,53284,119834,1695095,701581,303466,93450,599016,182469,71303,11034,3173,42260,69528,8350,8789,388,6297,628148,264057,76967,7922,192378,596837,194723,53376,14852,117750,100794,78045,21034,2311,39286,553507,122207,34088,3109,105745,39660,22183,2660,963,8162,1723554,625375,357213,47671,595757
