State,February
Alabama,"372,345"
Alaska,"43,839"
American Samoa,--
Arizona,"375,600"
Arkansas,"151,359"
California,"2,546,125"
Colorado,"269,973"
Connecticut,"217,360"
Delaware,"58,713"
District of Columbia,"91,428"
Florida,"1,535,576"
Georgia,"794,598"
Guam,"13,771"
Hawaii,"95,190"
Idaho,"60,687"
Illinois,"1,071,564"
Indiana,"289,456"
Iowa,"140,020"
Kansas,"96,380"
Kentucky,"256,330"
Louisiana,"400,772"
Maine,"91,805"
Maryland,"503,320"
Massachusetts,"610,263"
Michigan,"705,084"
Minnesota,"221,267"
Mississippi,"205,558"
Missouri,"313,432"
Montana,"45,053"
Nebraska,"74,228"
Nevada,"236,544"
New Hampshire,"35,355"
New Jersey,"465,936"
New Mexico,"280,015"
New York,"1,639,136"
North Carolina,"845,518"
North Dakota,"23,560"
Ohio,"754,046"
Oklahoma,"300,665"
Oregon,"417,368"
Pennsylvania,"997,727"
Puerto Rico,--
Rhode Island,"84,645"
South Carolina,"300,173"
South Dakota,"33,866"
Tennessee,"423,401"
Texas,"1,537,036"
Utah,"85,146"
Vermont,"40,516"
Virginia,"411,569"
Virgin Islands,"11,693"
Washington,"492,140"
West Virginia,"164,063"
Wisconsin,"374,606"
Wyoming,"14,245"
,
