"Question","Characteristics","response","count","State"
"Active duty military*","Did not report","Enough of the kinds of food wanted",2470,"AL"
"Active duty military*","No active duty service (self or spouse)","Enough of the kinds of food wanted",1785238,"AL"
"Active duty military*","Serving in Reserve or National Guard","Enough of the kinds of food wanted",5366,"AL"
"Active duty military*","Serving on active duty","Enough of the kinds of food wanted",15150,"AL"
"Active duty military*","Spouse serving in Reserve or National Guard","Enough of the kinds of food wanted",15931,"AL"
"Active duty military*","Spouse serving on active duty","Enough of the kinds of food wanted",7142,"AL"
"Age","18 - 24","Enough of the kinds of food wanted",115852,"AL"
"Age","25 - 39","Enough of the kinds of food wanted",424409,"AL"
"Age","40 - 54","Enough of the kinds of food wanted",439697,"AL"
"Age","55 - 64","Enough of the kinds of food wanted",351425,"AL"
"Age","65 and above","Enough of the kinds of food wanted",499914,"AL"
"Confidence in paying next rent or mortgage","Did not report","Enough of the kinds of food wanted",755440,"AL"
"Confidence in paying next rent or mortgage","High confidence","Enough of the kinds of food wanted",936551,"AL"
"Confidence in paying next rent or mortgage","Moderate confidence","Enough of the kinds of food wanted",68486,"AL"
"Confidence in paying next rent or mortgage","No confidence","Enough of the kinds of food wanted",19487,"AL"
"Confidence in paying next rent or mortgage","Payment is/will be deferred","Enough of the kinds of food wanted",7742,"AL"
"Confidence in paying next rent or mortgage","Slight confidence","Enough of the kinds of food wanted",43591,"AL"
"Covered by health insurance","Did not report or don’t know","Enough of the kinds of food wanted",106276,"AL"
"Covered by health insurance","No","Enough of the kinds of food wanted",90694,"AL"
"Covered by health insurance","Yes","Enough of the kinds of food wanted",1634327,"AL"
"Currently caught up on mortgage or rental payments","Did not report","Enough of the kinds of food wanted",132402,"AL"
"Currently caught up on mortgage or rental payments","Housing owned or payment not required","Enough of the kinds of food wanted",614469,"AL"
"Currently caught up on mortgage or rental payments","No","Enough of the kinds of food wanted",41416,"AL"
"Currently caught up on mortgage or rental payments","Yes","Enough of the kinds of food wanted",1043010,"AL"
"Difficulty hearing","A lot of difficulty","Enough of the kinds of food wanted",23547,"AL"
"Difficulty hearing","Cannot do at all","Enough of the kinds of food wanted",3158,"AL"
"Difficulty hearing","Did not report","Enough of the kinds of food wanted",106777,"AL"
"Difficulty hearing","No difficulty","Enough of the kinds of food wanted",1418056,"AL"
"Difficulty hearing","Some difficulty","Enough of the kinds of food wanted",279759,"AL"
"Difficulty remembering or concentrating","A lot of difficulty","Enough of the kinds of food wanted",94725,"AL"
"Difficulty remembering or concentrating","Cannot do at all","Enough of the kinds of food wanted",NA,"AL"
"Difficulty remembering or concentrating","Did not report","Enough of the kinds of food wanted",136669,"AL"
"Difficulty remembering or concentrating","No difficulty","Enough of the kinds of food wanted",1008664,"AL"
"Difficulty remembering or concentrating","Some difficulty","Enough of the kinds of food wanted",591238,"AL"
"Difficulty seeing","A lot of difficulty","Enough of the kinds of food wanted",17309,"AL"
"Difficulty seeing","Cannot do at all","Enough of the kinds of food wanted",NA,"AL"
"Difficulty seeing","Did not report","Enough of the kinds of food wanted",111245,"AL"
"Difficulty seeing","No difficulty","Enough of the kinds of food wanted",1234132,"AL"
"Difficulty seeing","Some difficulty","Enough of the kinds of food wanted",468610,"AL"
"Difficulty walking or climbing stairs","A lot of difficulty","Enough of the kinds of food wanted",68305,"AL"
"Difficulty walking or climbing stairs","Cannot do at all","Enough of the kinds of food wanted",29721,"AL"
"Difficulty walking or climbing stairs","Did not report","Enough of the kinds of food wanted",106777,"AL"
"Difficulty walking or climbing stairs","No difficulty","Enough of the kinds of food wanted",1222015,"AL"
"Difficulty walking or climbing stairs","Some difficulty","Enough of the kinds of food wanted",404480,"AL"
"Education","Bachelor’s degree or higher","Enough of the kinds of food wanted",625166,"AL"
"Education","High school or GED","Enough of the kinds of food wanted",579065,"AL"
"Education","Less than high school","Enough of the kinds of food wanted",96246,"AL"
"Education","Some college/associate’s degree","Enough of the kinds of food wanted",530819,"AL"
"Experienced loss of employment income in last 4 weeks","Did not report","Enough of the kinds of food wanted",NA,"AL"
"Experienced loss of employment income in last 4 weeks","No","Enough of the kinds of food wanted",1754775,"AL"
"Experienced loss of employment income in last 4 weeks","Yes","Enough of the kinds of food wanted",76522,"AL"
"Free groceries in last 7 days","Did not report","Enough of the kinds of food wanted",4574,"AL"
"Free groceries in last 7 days","No","Enough of the kinds of food wanted",1739673,"AL"
"Free groceries in last 7 days","Yes","Enough of the kinds of food wanted",87050,"AL"
"Frequency of feeling down, depressed, or hopeless","Did not report","Enough of the kinds of food wanted",32284,"AL"
"Frequency of feeling down, depressed, or hopeless","More than half the days","Enough of the kinds of food wanted",90073,"AL"
"Frequency of feeling down, depressed, or hopeless","Nearly every day","Enough of the kinds of food wanted",96558,"AL"
"Frequency of feeling down, depressed, or hopeless","Not at all","Enough of the kinds of food wanted",1190770,"AL"
"Frequency of feeling down, depressed, or hopeless","Several days","Enough of the kinds of food wanted",421612,"AL"
"Frequency of feeling nervous, anxious, on edge","Did not report","Enough of the kinds of food wanted",32284,"AL"
"Frequency of feeling nervous, anxious, on edge","More than half the days","Enough of the kinds of food wanted",87734,"AL"
"Frequency of feeling nervous, anxious, on edge","Nearly every day","Enough of the kinds of food wanted",120496,"AL"
"Frequency of feeling nervous, anxious, on edge","Not at all","Enough of the kinds of food wanted",1083250,"AL"
"Frequency of feeling nervous, anxious, on edge","Several days","Enough of the kinds of food wanted",507532,"AL"
"Frequency of having little interest or pleasure in doing things","Did not report","Enough of the kinds of food wanted",32284,"AL"
"Frequency of having little interest or pleasure in doing things","More than half the days","Enough of the kinds of food wanted",90815,"AL"
"Frequency of having little interest or pleasure in doing things","Nearly every day","Enough of the kinds of food wanted",86913,"AL"
"Frequency of having little interest or pleasure in doing things","Not at all","Enough of the kinds of food wanted",1226787,"AL"
"Frequency of having little interest or pleasure in doing things","Several days","Enough of the kinds of food wanted",394498,"AL"
"Frequency of not being able to stop or control worrying","Did not report","Enough of the kinds of food wanted",32284,"AL"
"Frequency of not being able to stop or control worrying","More than half the days","Enough of the kinds of food wanted",75354,"AL"
"Frequency of not being able to stop or control worrying","Nearly every day","Enough of the kinds of food wanted",84362,"AL"
"Frequency of not being able to stop or control worrying","Not at all","Enough of the kinds of food wanted",1182549,"AL"
"Frequency of not being able to stop or control worrying","Several days","Enough of the kinds of food wanted",456747,"AL"
"Gender","Cisgender female","Enough of the kinds of food wanted",812168,"AL"
"Gender","Cisgender male","Enough of the kinds of food wanted",965193,"AL"
"Gender","Did not report","Enough of the kinds of food wanted",13016,"AL"
"Gender","None of these","Enough of the kinds of food wanted",23849,"AL"
"Gender","Transgender","Enough of the kinds of food wanted",17071,"AL"
"Hispanic origin and Race","Asian alone, not Hispanic","Enough of the kinds of food wanted",90106,"AL"
"Hispanic origin and Race","Black alone, not Hispanic","Enough of the kinds of food wanted",250694,"AL"
"Hispanic origin and Race","Hispanic or Latino (may be of any race)","Enough of the kinds of food wanted",117178,"AL"
"Hispanic origin and Race","Two or more races + Other races, not Hispanic","Enough of the kinds of food wanted",42329,"AL"
"Hispanic origin and Race","White alone, not Hispanic","Enough of the kinds of food wanted",1330990,"AL"
"Household income","$100,000 - $149,999","Enough of the kinds of food wanted",290635,"AL"
"Household income","$150,000 - $199,999","Enough of the kinds of food wanted",105147,"AL"
"Household income","$200,000 and above","Enough of the kinds of food wanted",128685,"AL"
"Household income","$25,000 - $34,999","Enough of the kinds of food wanted",137324,"AL"
"Household income","$35,000 - $49,999","Enough of the kinds of food wanted",179705,"AL"
"Household income","$50,000 - $74,999","Enough of the kinds of food wanted",300414,"AL"
"Household income","$75,000 - $99,999","Enough of the kinds of food wanted",264740,"AL"
"Household income","Did not report","Enough of the kinds of food wanted",223371,"AL"
"Household income","Less than $25,000","Enough of the kinds of food wanted",201275,"AL"
"Household size","1 person in the household","Enough of the kinds of food wanted",168598,"AL"
"Household size","2 people in the household","Enough of the kinds of food wanted",685043,"AL"
"Household size","3 people in the household","Enough of the kinds of food wanted",342477,"AL"
"Household size","4 people in the household","Enough of the kinds of food wanted",297420,"AL"
"Household size","5 people in the household","Enough of the kinds of food wanted",181774,"AL"
"Household size","6 people in the household","Enough of the kinds of food wanted",105167,"AL"
"Household size","7 or more people in the household","Enough of the kinds of food wanted",50817,"AL"
"Lesbian, Gay, Bisexual and Transgender","Did not report","Enough of the kinds of food wanted",25636,"AL"
"Lesbian, Gay, Bisexual and Transgender","No","Enough of the kinds of food wanted",1654112,"AL"
"Lesbian, Gay, Bisexual and Transgender","Other","Enough of the kinds of food wanted",32209,"AL"
"Lesbian, Gay, Bisexual and Transgender","Yes","Enough of the kinds of food wanted",119339,"AL"
"Marital status","Did not report","Enough of the kinds of food wanted",NA,"AL"
"Marital status","Divorced/separated","Enough of the kinds of food wanted",259136,"AL"
"Marital status","Married","Enough of the kinds of food wanted",1170984,"AL"
"Marital status","Never married","Enough of the kinds of food wanted",284038,"AL"
"Marital status","Widowed","Enough of the kinds of food wanted",117139,"AL"
"Presence of children under 18 years old","Children in household","Enough of the kinds of food wanted",627288,"AL"
"Presence of children under 18 years old","No children","Enough of the kinds of food wanted",1204008,"AL"
"Reason for not working","Did not report reason","Enough of the kinds of food wanted",1166251,"AL"
"Reason for not working","I am retired","Enough of the kinds of food wanted",382607,"AL"
"Reason for not working","I did not have transportation to work","Enough of the kinds of food wanted",NA,"AL"
"Reason for not working","I did not want to be employed at this time","Enough of the kinds of food wanted",49398,"AL"
"Reason for not working","I was caring for an elderly person","Enough of the kinds of food wanted",24966,"AL"
"Reason for not working","I was caring for children not in school or daycare","Enough of the kinds of food wanted",25230,"AL"
"Reason for not working","I was caring for someone or sick myself with coronavirus symptoms","Enough of the kinds of food wanted",8569,"AL"
"Reason for not working","I was concerned about getting or spreading the coronavirus","Enough of the kinds of food wanted",2664,"AL"
"Reason for not working","I was laid off or furloughed due to coronavirus pandemic","Enough of the kinds of food wanted",14358,"AL"
"Reason for not working","I was sick (not coronavirus related) or disabled","Enough of the kinds of food wanted",73763,"AL"
"Reason for not working","My employer closed temporarily due to the coronavirus pandemic","Enough of the kinds of food wanted",NA,"AL"
"Reason for not working","My employer went out of business due to the coronavirus pandemic","Enough of the kinds of food wanted",NA,"AL"
"Reason for not working","Other reason","Enough of the kinds of food wanted",83489,"AL"
"Received SNAP","Did not report","Enough of the kinds of food wanted",35988,"AL"
"Received SNAP","No","Enough of the kinds of food wanted",1697820,"AL"
"Received SNAP","Yes","Enough of the kinds of food wanted",97488,"AL"
"Respondent employed in the last 7 days","Did not report","Enough of the kinds of food wanted",1647,"AL"
"Respondent employed in the last 7 days","No","Enough of the kinds of food wanted",692556,"AL"
"Respondent employed in the last 7 days","Yes","Enough of the kinds of food wanted",1137094,"AL"
"Sex at birth","Female","Enough of the kinds of food wanted",835592,"AL"
"Sex at birth","Male","Enough of the kinds of food wanted",995705,"AL"
"Sexual orientation","Bisexual","Enough of the kinds of food wanted",59965,"AL"
"Sexual orientation","Did not report","Enough of the kinds of food wanted",19964,"AL"
"Sexual orientation","Gay or lesbian","Enough of the kinds of food wanted",45155,"AL"
"Sexual orientation","I don’t know","Enough of the kinds of food wanted",8201,"AL"
"Sexual orientation","Something else","Enough of the kinds of food wanted",9227,"AL"
"Sexual orientation","Straight","Enough of the kinds of food wanted",1688784,"AL"
"Total","","Enough of the kinds of food wanted",1831297,"AL"
"Used in the last 7 days to meet spending needs*","Borrowing from friends or family","Enough of the kinds of food wanted",40741,"AL"
"Used in the last 7 days to meet spending needs*","Child Tax Credit payment","Enough of the kinds of food wanted",16780,"AL"
"Used in the last 7 days to meet spending needs*","Credit cards or loans","Enough of the kinds of food wanted",466356,"AL"
"Used in the last 7 days to meet spending needs*","Did not report","Enough of the kinds of food wanted",36027,"AL"
"Used in the last 7 days to meet spending needs*","Government rental assistance","Enough of the kinds of food wanted",11549,"AL"
"Used in the last 7 days to meet spending needs*","Money from savings or selling assets or possessions (including withdrawals from retirement accounts)","Enough of the kinds of food wanted",375815,"AL"
"Used in the last 7 days to meet spending needs*","Money saved from deferred or forgiven payments (to meet spending needs)","Enough of the kinds of food wanted",50881,"AL"
"Used in the last 7 days to meet spending needs*","Other","Enough of the kinds of food wanted",86974,"AL"
"Used in the last 7 days to meet spending needs*","Regular income sources like those received before the pandemic","Enough of the kinds of food wanted",1630334,"AL"
"Used in the last 7 days to meet spending needs*","School meal debit/EBT cards","Enough of the kinds of food wanted",24361,"AL"
"Used in the last 7 days to meet spending needs*","Stimulus (economic impact) payment","Enough of the kinds of food wanted",64861,"AL"
"Used in the last 7 days to meet spending needs*","Supplemental Nutrition Assistance Program (SNAP)","Enough of the kinds of food wanted",44139,"AL"
"Used in the last 7 days to meet spending needs*","Unemployment insurance (UI) benefit payments","Enough of the kinds of food wanted",NA,"AL"
"Active duty military*","Did not report","Enough food, but not always the kinds wanted",3770,"AL"
"Active duty military*","No active duty service (self or spouse)","Enough food, but not always the kinds wanted",933922,"AL"
"Active duty military*","Serving in Reserve or National Guard","Enough food, but not always the kinds wanted",NA,"AL"
"Active duty military*","Serving on active duty","Enough food, but not always the kinds wanted",NA,"AL"
"Active duty military*","Spouse serving in Reserve or National Guard","Enough food, but not always the kinds wanted",NA,"AL"
"Active duty military*","Spouse serving on active duty","Enough food, but not always the kinds wanted",7142,"AL"
"Age","18 - 24","Enough food, but not always the kinds wanted",24280,"AL"
"Age","25 - 39","Enough food, but not always the kinds wanted",261023,"AL"
"Age","40 - 54","Enough food, but not always the kinds wanted",303635,"AL"
"Age","55 - 64","Enough food, but not always the kinds wanted",195698,"AL"
"Age","65 and above","Enough food, but not always the kinds wanted",160197,"AL"
"Confidence in paying next rent or mortgage","Did not report","Enough food, but not always the kinds wanted",292975,"AL"
"Confidence in paying next rent or mortgage","High confidence","Enough food, but not always the kinds wanted",292379,"AL"
"Confidence in paying next rent or mortgage","Moderate confidence","Enough food, but not always the kinds wanted",201490,"AL"
"Confidence in paying next rent or mortgage","No confidence","Enough food, but not always the kinds wanted",49212,"AL"
"Confidence in paying next rent or mortgage","Payment is/will be deferred","Enough food, but not always the kinds wanted",11902,"AL"
"Confidence in paying next rent or mortgage","Slight confidence","Enough food, but not always the kinds wanted",96876,"AL"
"Covered by health insurance","Did not report or don’t know","Enough food, but not always the kinds wanted",44276,"AL"
"Covered by health insurance","No","Enough food, but not always the kinds wanted",96192,"AL"
"Covered by health insurance","Yes","Enough food, but not always the kinds wanted",804365,"AL"
